Kabupaten/Kota,Provinsi,Sambal jadi,"Bumbu maskan jadi/kemasan, bumbu racikan",Cabe merah,Cabe hijau,Cabe rawit,Tahun
Pinrang,Sulawesi Selatan,44,179,432,23,650,2021
Enrekang,Sulawesi Selatan,31,160,124,10,833,2021
Luwu,Sulawesi Selatan,42,105,192,55,1297,2021
Tana Toraja,Sulawesi Selatan,28,50,37,67,1666,2021
Luwu Utara,Sulawesi Selatan,28,128,161,25,1969,2021
Luwu Timur,Sulawesi Selatan,45,225,108,15,1885,2021
Toraja Utara,Sulawesi Selatan,13,83,273,242,1052,2021
Makasar,Sulawesi Selatan,282,344,494,79,1300,2021
Parepare,Sulawesi Selatan,260,179,513,18,1218,2021
Palopo,Sulawesi Selatan,104,137,48,6,1434,2021
Buton,Sulawesi Tenggara,47,122,175,20,490,2021
Muna,Sulawesi Tenggara,32,65,64,7,364,2021
Konawe,Sulawesi Tenggara,29,128,92,32,707,2021
Kolaka,Sulawesi Tenggara,77,284,146,20,1031,2021
Konawe Selatan,Sulawesi Tenggara,15,281,133,11,1069,2021
Bombana,Sulawesi Tenggara,129,280,138,9,637,2021
Wakatobi,Sulawesi Tenggara,159,338,138,10,463,2021
Kolaka Utara,Sulawesi Tenggara,148,259,47,20,1006,2021
Buton Utara,Sulawesi Tenggara,89,213,170,8,387,2021
Konawe Utara,Sulawesi Tenggara,105,359,207,3,784,2021
Kolaka Timur,Sulawesi Tenggara,23,225,102,33,1018,2021
Konawe Kepulauan,Sulawesi Tenggara,69,86,72,11,586,2021
Muna Barat,Sulawesi Tenggara,34,119,37,11,504,2021
Buton Tengah,Sulawesi Tenggara,57,326,61,3,390,2021
Buton Selatan,Sulawesi Tenggara,16,164,159,23,209,2021
Kendari,Sulawesi Tenggara,90,228,310,55,1091,2021
Baubau,Sulawesi Tenggara,170,157,112,26,740,2021
Boalemo,Gorontalo,4,238,8,,4157,2021
Gorontalo,Gorontalo,29,172,93,1,4692,2021
Pohuwato,Gorontalo,4,266,82,2,4241,2021
Bone Bolango,Gorontalo,23,179,72,,4118,2021
Gorontalo Utara,Gorontalo,2,276,9,6,4705,2021
Majene,Sulawesi Barat,113,325,1160,16,506,2021
Polewali Mandar,Sulawesi Barat,53,228,877,13,677,2021
Mamasa,Sulawesi Barat,17,68,128,52,531,2021
Mamuju,Sulawesi Barat,63,208,620,21,843,2021
Mamuju Utara,Sulawesi Barat,68,282,1020,70,2223,2021
Mamuju Tengah,Sulawesi Barat,55,133,694,54,1538,2021
Maluku Tenggara Barat,Maluku,58,142,863,140,585,2021
Maluku Tenggara,Maluku,56,80,116,33,1528,2021
Maluku Tengah,Maluku,66,120,701,70,1381,2021
Buru,Maluku,52,257,867,19,2101,2021
Kepulauan Aru,Maluku,129,167,339,,1290,2021
Seram Bagian Barat,Maluku,30,194,629,36,1009,2021
Seram Bagian Timur,Maluku,42,131,661,96,1269,2021
Maluku Barat Daya,Maluku,45,104,124,,1043,2021
Buru Selatan,Maluku,32,51,366,25,906,2021
Ambon,Maluku,103,155,769,12,1121,2021
Tual,Maluku,38,126,104,2,1120,2021
Halmahera Barat,Maluku Utara,40,66,1148,,1486,2021
Halmahera Tengah,Maluku Utara,45,381,816,,1502,2021
Kepulauan Sula,Maluku Utara,9,274,694,,1027,2021
Halmahera Selatan,Maluku Utara,75,133,1057,,1577,2021
Halmahera Utara,Maluku Utara,19,319,1554,126,1307,2021
Halmahera Timur,Maluku Utara,20,319,948,,2192,2021
Pulau Morotai,Maluku Utara,87,246,2333,36,1472,2021
Pulau Taliabu,Maluku Utara,43,254,548,,1006,2021
Ternate,Maluku Utara,71,127,926,6,2035,2021
Tidore Kepulauan,Maluku Utara,85,137,1143,27,1690,2021
Fakfak,Papua Barat,187,278,401,107,2258,2021
Kaimana,Papua Barat,133,164,379,23,2299,2021
Teluk Wondama,Papua Barat,91,77,289,13,2454,2021
Teluk Bintuni,Papua Barat,69,346,1004,87,2385,2021
Manokwari,Papua Barat,67,364,332,80,2061,2021
Sorong Selatan,Papua Barat,5,189,108,29,1715,2021
Sorong,Papua Barat,38,145,360,25,3629,2021
Raja Ampat,Papua Barat,283,139,445,29,2003,2021
Tambrauw,Papua Barat,52,72,360,,1073,2021
Maybrat,Papua Barat,24,181,188,13,2191,2021
Manokwari Selatan,Papua Barat,49,210,238,22,1629,2021
Pegunungan Arfak,Papua Barat,11,310,187,68,1086,2021
Merauke,Papua,90,146,672,434,2878,2021
Jayawijaya,Papua,161,132,364,27,3035,2021
Jayapura,Papua,114,324,814,66,2714,2021
Nabire,Papua,139,319,668,48,2496,2021
Kepulauan Yapen,Papua,116,327,547,74,1653,2021
Biak Numfor,Papua,65,278,397,22,1732,2021
Paniai,Papua,,10,54,,2949,2021
Puncak Jaya,Papua,33,9,92,17,7775,2021
Mimika,Papua,129,119,624,23,2427,2021
Boven Digoel,Papua,21,185,465,134,1831,2021
Mappi,Papua,93,349,137,34,952,2021
Asmat,Papua,48,190,463,5,872,2021
Yahukimo,Papua,1,,64,,3049,2021
Pegunungan Bintang,Papua,34,42,176,9,1191,2021
Tolikara,Papua,,28,409,39,3348,2021
Sarmi,Papua,383,52,402,135,1402,2021
Keerom,Papua,64,222,202,46,4722,2021
Waropen,Papua,9,53,862,5,1221,2021
Supiori,Papua,27,79,184,10,1726,2021
Mamberamo Raya,Papua,50,40,802,0,2257,2021
Nduga,Papua,53,969,225,55,6021,2021
Lanny Jaya,Papua,,1669,20,,3600,2021
Mamberamo Tengah,Papua,3,6,102,30,1253,2021
Yalimo,Papua,5,132,374,440,4343,2021
Puncak,Jawa Barat,,,,43,10964,2021
Dogiyai,Papua,3,80,1139,4,628,2021
Intan Jaya,Papua,,,,15,2691,2021
Deiyai,Papua,,,1,,2580,2021
Simeulue,Aceh,10,141,3361,82,2013,2022
Aceh Singkil,Aceh,8,107,3920,376,807,2022
Aceh Selatan,Aceh,1,54,3730,45,1793,2022
Aceh Tenggara,Aceh,20,184,2996,630,1543,2022
Aceh Timur,Aceh,4,287,2700,1038,1308,2022
Aceh Tengah,Aceh,5,337,4138,839,1542,2022
Aceh Barat,Aceh,38,209,2653,208,2009,2022
Aceh Besar,Aceh,66,90,2535,599,1056,2022
Pidie,Aceh,16,163,2554,814,936,2022
Bireuen,Aceh,3,307,2633,718,890,2022
Aceh Utara,Aceh,19,345,2019,735,1176,2022
Aceh Barat Daya,Aceh,6,34,3123,45,1477,2022
Gayo Lues,Aceh,15,180,3550,440,993,2022
Aceh Tamiang,Aceh,19,197,2842,895,1365,2022
Nagan Raya,Aceh,25,128,3259,347,2744,2022
Aceh Jaya,Aceh,19,91,2377,479,1561,2022
Bener Meriah,Aceh,22,350,3304,1023,1899,2022
Pidie Jaya,Aceh,7,112,3213,653,824,2022
Banda Aceh,Aceh,156,252,3636,718,1085,2022
Sabang,Aceh,130,132,3828,1127,1233,2022
Langsa,Aceh,82,284,3138,743,1364,2022
Lhokseumawe,Aceh,49,267,3122,774,851,2022
Subulussalam,Aceh,12,87,3781,240,525,2022
Nias,Sumatera Utara,1,219,1188,245,2153,2022
Mandailing Natal,Sumatera Utara,2,242,4947,154,1064,2022
Tapanuli Selatan,Sumatera Utara,4,150,4864,122,585,2022
Tapanuli Tengah,Sumatera Utara,0,96,3905,75,271,2022
Tapanuli Utara,Sumatera Utara,23,170,3180,36,662,2022
Toba Samosir,Sumatera Utara,22,175,2614,109,707,2022
Labuhan Batu,Sumatera Utara,6,67,3628,292,1294,2022
Asahan,Sumatera Utara,27,152,3851,1039,1754,2022
Simalungun,Sumatera Utara,1,89,3027,529,1524,2022
Dairi,Sumatera Utara,12,74,2172,42,1497,2022
Karo,Sumatera Utara,27,212,3001,648,2612,2022
Deli Serdang,Sumatera Utara,78,117,3345,562,1728,2022
Langkat,Sumatera Utara,20,102,3158,546,1884,2022
Nias Selatan,Sumatera Utara,7,458,2482,109,1435,2022
Humbang Hasundutan,Sumatera Utara,4,152,2901,15,688,2022
Pakpak Bharat,Sumatera Utara,10,76,2001,54,1106,2022
Samosir,Sumatera Utara,43,112,2374,71,1224,2022
Serdang Bedagai,Sumatera Utara,37,126,3220,587,1648,2022
Batu Bara,Sumatera Utara,12,117,4260,966,1361,2022
Padang Lawas Utara,Sumatera Utara,10,129,3779,140,730,2022
Padang Lawas,Sumatera Utara,1,291,3939,95,942,2022
Labuhan Batu Selatan,Sumatera Utara,8,119,3140,480,1593,2022
Labuhan Batu Utara,Sumatera Utara,13,139,2917,527,1540,2022
Nias Utara,Sumatera Utara,3,178,1233,223,1743,2022
Nias Barat,Sumatera Utara,1,63,1607,109,485,2022
Sibolga,Sumatera Utara,8,112,4859,78,130,2022
Tanjung Balai,Sumatera Utara,9,255,3782,450,442,2022
Pematang Siantar,Sumatera Utara,12,94,3064,364,580,2022
Tebing Tinggi,Sumatera Utara,47,222,3213,640,1287,2022
Medan,Sumatera Utara,121,295,3778,753,1122,2022
Binjai,Sumatera Utara,44,105,3713,539,1328,2022
Padangsidimpuan,Sumatera Utara,3,149,4918,161,469,2022
Gunungsitoli,Sumatera Utara,1,272,1975,53,2027,2022
Kepulauan Mentawai,Sumatera Barat,13,54,4453,229,834,2022
Pesisir Selatan,Sumatera Barat,34,87,6997,476,330,2022
Solok,Sumatera Barat,10,210,6881,305,88,2022
Sijunjung,Sumatera Barat,16,140,5512,175,1324,2022
Tanah Datar,Sumatera Barat,20,244,4881,192,297,2022
Padang Pariaman,Sumatera Barat,33,126,5075,263,750,2022
Agam,Sumatera Barat,34,242,6407,398,411,2022
Lima Puluh Kota,Sumatera Barat,22,145,6528,157,446,2022
Pasaman,Sumatera Barat,14,173,5862,257,1156,2022
Solok Selatan,Sumatera Barat,5,161,6687,539,369,2022
Dharmasraya,Sumatera Barat,35,242,5122,632,1073,2022
Pasaman Barat,Sumatera Barat,25,125,4315,259,2484,2022
Padang,Sumatera Barat,233,185,7178,558,321,2022
Sawah Lunto,Sumatera Barat,89,417,5790,657,418,2022
Padang Panjang,Sumatera Barat,192,318,5431,433,183,2022
Bukittinggi,Sumatera Barat,151,419,4361,547,178,2022
Payakumbuh,Sumatera Barat,133,171,5375,349,221,2022
Pariaman,Sumatera Barat,88,78,4759,228,408,2022
Kuantan Singingi,Riau,27,212,4695,657,1380,2022
Indragiri Hulu,Riau,25,188,4484,398,1500,2022
Indragiri Hilir,Riau,65,148,2578,106,1431,2022
Pelalawan,Riau,26,318,3899,823,2939,2022
Siak,Riau,79,207,4154,712,1956,2022
Kampar,Riau,104,226,5192,615,1790,2022
Rokan Hulu,Riau,32,421,4815,520,1874,2022
Bengkalis,Riau,134,307,3701,365,1449,2022
Rokan Hilir,Riau,69,85,3152,413,2086,2022
Kepulauan Meranti,Riau,50,165,2242,84,1120,2022
Pekanbaru,Riau,231,301,5041,584,807,2022
Dumai,Riau,89,307,4684,332,1810,2022
Kerinci,Jambi,15,300,6090,226,196,2022
Merangin,Jambi,23,112,4215,170,1580,2022
Sarolangun,Jambi,19,261,3363,147,1729,2022
Batang Hari,Jambi,30,275,2965,188,1522,2022
Muaro Jambi,Jambi,28,309,4051,285,1850,2022
Tanjung Jabung Timur,Jambi,42,509,3954,167,1766,2022
Tanjung Jabung Barat,Jambi,60,220,2743,161,1945,2022
Tebo,Jambi,76,134,3382,189,1661,2022
Bungo,Jambi,40,199,4767,222,1568,2022
Jambi,Jambi,334,418,3636,293,1103,2022
Sungai Penuh,Jambi,35,348,5909,321,145,2022
Ogan Komering Ulu,Sumatera Selatan,26,302,1459,98,1341,2022
Ogan Komering Ilir,Sumatera Selatan,89,268,1756,343,1663,2022
Muara Enim,Sumatera Selatan,54,273,2202,198,847,2022
Lahat,Sumatera Selatan,41,248,2949,136,999,2022
Musi Rawas,Sumatera Selatan,15,204,1621,132,1445,2022
Musi Banyuasin,Sumatera Selatan,63,363,2227,367,1847,2022
Banyu Asin,Sumatera Selatan,99,429,2302,221,1426,2022
Ogan Komering Ulu Selatan,Sumatera Selatan,2,223,1364,68,1590,2022
Ogan Komering Ulu Timur,Sumatera Selatan,41,193,1342,323,1942,2022
Ogan Ilir,Sumatera Selatan,73,259,1994,155,803,2022
Empat Lawang,Sumatera Selatan,28,140,1971,34,1210,2022
Penukal Abab Lematang Ilir,Sumatera Selatan,64,324,2363,320,816,2022
Musi Rawas Utara,Sumatera Selatan,102,295,3092,119,919,2022
Palembang,Sumatera Selatan,252,533,2047,191,755,2022
Prabumulih,Sumatera Selatan,74,316,1844,159,788,2022
Pagar Alam,Sumatera Selatan,45,326,2734,131,755,2022
Lubuklinggau,Sumatera Selatan,177,337,2334,74,1189,2022
Bengkulu Selatan,Bengkulu,21,373,3892,29,546,2022
Rejang Lebong,Bengkulu,31,231,4188,175,1317,2022
Bengkulu Utara,Bengkulu,31,115,3435,146,1241,2022
Kaur,Bengkulu,23,229,3464,8,662,2022
Seluma,Bengkulu,5,182,3934,33,980,2022
Mukomuko,Bengkulu,17,125,4410,152,1383,2022
Lebong,Bengkulu,3,70,5137,279,862,2022
Kepahiang,Bengkulu,16,152,3136,153,1788,2022
Bengkulu Tengah,Bengkulu,,117,4445,48,985,2022
Bengkulu,Bengkulu,92,333,4451,157,737,2022
Lampung Barat,Lampung,59,304,1076,167,2240,2022
Tanggamus,Lampung,15,159,1050,108,2091,2022
Lampung Selatan,Lampung,25,420,1347,242,1990,2022
Lampung Timur,Lampung,15,148,909,246,2431,2022
Lampung Tengah,Lampung,14,218,1061,244,1975,2022
Lampung Utara,Lampung,15,149,1533,160,1790,2022
Way Kanan,Lampung,15,172,1229,93,2120,2022
Tulangbawang,Lampung,18,210,1222,179,2250,2022
Pesawaran,Lampung,34,245,1497,294,2098,2022
Pringsewu,Lampung,23,104,989,142,2030,2022
Mesuji,Lampung,25,162,791,60,2287,2022
Tulang Bawang Barat,Lampung,17,211,1154,109,1980,2022
Pesisir Barat,Lampung,22,436,1784,51,1593,2022
Bandar Lampung,Lampung,178,692,2169,322,1607,2022
Metro,Lampung,13,351,1564,170,1466,2022
Bangka,Kepulauan Bangka Belitung,171,196,2445,76,2630,2022
Belitung,Kepulauan Bangka Belitung,169,171,2243,124,3343,2022
Bangka Barat,Kepulauan Bangka Belitung,48,189,2423,131,3025,2022
Bangka Tengah,Kepulauan Bangka Belitung,79,136,2307,53,3806,2022
Bangka Selatan,Kepulauan Bangka Belitung,17,207,2573,76,4698,2022
Belitung Timur,Kepulauan Bangka Belitung,148,259,3124,105,3857,2022
Pangkal Pinang,Kepulauan Bangka Belitung,312,291,2918,265,3255,2022
Karimun,Kepulauan Riau,202,431,2139,290,1730,2022
Bintan,Kepulauan Riau,226,368,2690,687,2116,2022
Natuna,Kepulauan Riau,285,165,890,248,2450,2022
Lingga,Kepulauan Riau,85,331,1109,383,1972,2022
Kepulauan Anambas,Kepulauan Riau,394,280,2204,544,4460,2022
Batam,Kepulauan Riau,393,422,3918,439,1831,2022
Tanjung Pinang,Kepulauan Riau,210,328,2799,771,1742,2022
Kep. Seribu,DKI Jakarta,66,286,2811,234,3009,2022
Jakarta Selatan,D.K.I. Jakarta,448,826,3024,365,2082,2022
Jakarta Timur,D.K.I. Jakarta,277,696,2122,414,1625,2022
Jakarta Pusat,D.K.I. Jakarta,259,614,2482,236,1498,2022
Jakarta Barat,D.K.I. Jakarta,216,602,2148,277,1494,2022
Jakarta Utara,D.K.I. Jakarta,168,660,2037,287,1676,2022
Bogor,Jawa Barat,145,558,1647,262,1485,2022
Sukabumi,Jawa Barat,37,456,784,90,1447,2022
Cianjur,Jawa Barat,51,252,219,101,929,2022
Bandung,Jawa Barat,122,561,280,121,900,2022
Garut,Jawa Barat,31,438,147,69,834,2022
Tasikmalaya,Jawa Barat,33,492,245,104,1167,2022
Ciamis,Jawa Barat,50,343,357,206,1286,2022
Kuningan,Jawa Barat,96,490,707,162,1021,2022
Cirebon,Jawa Barat,142,536,955,227,964,2022
Majalengka,Jawa Barat,32,389,550,144,878,2022
Sumedang,Jawa Barat,66,415,261,96,1102,2022
Indramayu,Jawa Barat,61,734,893,290,1323,2022
Subang,Jawa Barat,81,554,555,129,1374,2022
Purwakarta,Jawa Barat,85,611,787,168,1362,2022
Karawang,Jawa Barat,59,444,1236,199,1384,2022
Bekasi,Jawa Barat,157,504,2066,295,1653,2022
Bandung Barat,Jawa Barat,65,561,404,90,1145,2022
Pangandaran,Jawa Barat,67,291,335,235,1872,2022
Depok,Jawa Barat,359,671,2482,286,1932,2022
Cimahi,Jawa Barat,259,998,1037,234,1161,2022
Banjar,Jawa Barat,21,344,424,380,1246,2022
Cilacap,Jawa Tengah,20,216,504,267,1651,2022
Banyumas,Jawa Tengah,29,219,925,314,1485,2022
Purbalingga,Jawa Tengah,25,125,917,318,1169,2022
Banjarnegara,Jawa Tengah,4,358,347,162,978,2022
Kebumen,Jawa Tengah,32,129,575,86,1691,2022
Purworejo,Jawa Tengah,39,93,679,85,1343,2022
Wonosobo,Jawa Tengah,21,217,508,381,1206,2022
Magelang,Jawa Tengah,17,113,538,164,1414,2022
Boyolali,Jawa Tengah,35,186,674,100,1217,2022
Klaten,Jawa Tengah,61,256,885,147,1318,2022
Sukoharjo,Jawa Tengah,61,263,840,343,1159,2022
Wonogiri,Jawa Tengah,27,204,607,573,1692,2022
Karanganyar,Jawa Tengah,52,232,839,303,1352,2022
Sragen,Jawa Tengah,39,236,729,245,1414,2022
Grobogan,Jawa Tengah,27,135,721,179,1282,2022
Blora,Jawa Tengah,25,108,1173,200,1175,2022
Rembang,Jawa Tengah,21,174,1219,274,1088,2022
Pati,Jawa Tengah,36,246,1364,359,1048,2022
Kudus,Jawa Tengah,29,174,1224,190,710,2022
Jepara,Jawa Tengah,20,128,871,148,899,2022
Demak,Jawa Tengah,13,283,1638,429,1352,2022
Semarang,Jawa Tengah,38,271,926,100,1176,2022
Temanggung,Jawa Tengah,15,192,662,416,1229,2022
Kendal,Jawa Tengah,79,344,838,136,1401,2022
Batang,Jawa Tengah,22,222,993,138,1048,2022
Pekalongan,Jawa Tengah,20,315,736,142,1084,2022
Pemalang,Jawa Tengah,66,375,578,157,1159,2022
Tegal,Jawa Tengah,67,290,1641,275,1315,2022
Brebes,Jawa Tengah,11,315,609,150,1096,2022
Surakarta,Jawa Tengah,85,434,1292,342,1382,2022
Salatiga,Jawa Tengah,87,199,918,106,1154,2022
Kulon Progo,D.I. Yogyakarta,74,83,638,125,680,2022
Bantul,D.I. Yogyakarta,71,175,578,189,1185,2022
Gunung Kidul,D.I. Yogyakarta,2,165,453,427,2126,2022
Sleman,D.I. Yogyakarta,164,252,791,258,1397,2022
Yogyakarta,D.I. Yogyakarta,101,346,894,265,958,2022
Pacitan,Jawa Timur,6,251,244,134,1870,2022
Ponorogo,Jawa Timur,60,137,310,67,1980,2022
Trenggalek,Jawa Timur,15,142,197,151,2061,2022
Tulungagung,Jawa Timur,76,223,581,59,2405,2022
Blitar,Jawa Timur,26,130,102,57,2130,2022
Kediri,Jawa Timur,30,165,605,91,2135,2022
Malang,Jawa Timur,25,363,375,39,1559,2022
Lumajang,Jawa Timur,37,253,418,90,1212,2022
Jember,Jawa Timur,21,207,283,285,1217,2022
Banyuwangi,Jawa Timur,50,318,453,60,2516,2022
Bondowoso,Jawa Timur,22,308,131,110,1185,2022
Situbondo,Jawa Timur,39,302,282,8,1133,2022
Probolinggo,Jawa Timur,28,271,174,48,932,2022
Pasuruan,Jawa Timur,13,294,1027,60,1554,2022
Sidoarjo,Jawa Timur,170,780,986,98,1562,2022
Mojokerto,Jawa Timur,28,380,635,88,1769,2022
Jombang,Jawa Timur,25,323,516,88,1634,2022
Nganjuk,Jawa Timur,42,172,428,85,1897,2022
Madiun,Jawa Timur,41,210,362,96,1677,2022
Magetan,Jawa Timur,35,142,833,216,1730,2022
Ngawi,Jawa Timur,10,191,517,187,1521,2022
Bojonegoro,Jawa Timur,18,133,776,312,1565,2022
Tuban,Jawa Timur,12,205,882,206,1633,2022
Lamongan,Jawa Timur,24,146,699,202,2277,2022
Gresik,Jawa Timur,55,427,873,147,1567,2022
Bangkalan,Jawa Timur,64,305,514,54,1222,2022
Sampang,Jawa Timur,4,175,236,11,1196,2022
Pamekasan,Jawa Timur,19,184,266,50,809,2022
Sumenep,Jawa Timur,35,455,727,168,1241,2022
Surabaya,Jawa Timur,97,685,1351,174,1746,2022
Batu,Jawa Timur,74,509,648,41,1619,2022
Pandeglang,Banten,23,464,550,63,1008,2022
Lebak,Banten,57,545,837,217,1387,2022
Tangerang,Banten,171,654,2115,165,1747,2022
Serang,Banten,89,498,1767,210,1442,2022
Cilegon,Banten,264,558,1774,124,1325,2022
Tangerang Selatan,Banten,150,825,2394,349,1766,2022
Jembrana,Bali,43,150,582,7,1533,2022
Tabanan,Bali,77,622,703,132,1195,2022
Badung,Bali,101,852,634,70,1981,2022
Gianyar,Bali,71,383,807,276,1858,2022
Klungkung,Bali,75,168,881,91,1536,2022
Bangli,Bali,39,136,454,310,1882,2022
Karangasem,Bali,9,51,327,2,2071,2022
Buleleng,Bali,23,57,789,64,1909,2022
Denpasar,Bali,184,986,929,35,1772,2022
Lombok Barat,Nusa Tenggara Barat,48,258,571,119,2517,2022
Lombok Tengah,Nusa Tenggara Barat,4,201,144,79,3065,2022
Lombok Timur,Nusa Tenggara Barat,24,416,823,278,3618,2022
Sumbawa,Nusa Tenggara Barat,24,246,445,89,1935,2022
Dompu,Nusa Tenggara Barat,30,210,532,10,849,2022
Bima,Nusa Tenggara Barat,89,254,314,12,868,2022
Sumbawa Barat,Nusa Tenggara Barat,113,283,751,75,2038,2022
Lombok Utara,Nusa Tenggara Barat,7,233,359,79,2853,2022
Mataram,Nusa Tenggara Barat,173,341,907,150,1928,2022
Sumba Barat,Nusa Tenggara Timur,2,46,69,73,1562,2022
Sumba Timur,Nusa Tenggara Timur,1,64,78,8,1405,2022
Kupang,Nusa Tenggara Timur,1,75,330,19,893,2022
Timor Tengah Selatan,Nusa Tenggara Timur,1,43,88,31,1163,2022
Timor Tengah Utara,Nusa Tenggara Timur,2,52,312,28,653,2022
Belu,Nusa Tenggara Timur,3,83,575,8,468,2022
Alor,Nusa Tenggara Timur,6,103,133,118,768,2022
Lembata,Nusa Tenggara Timur,31,125,99,98,438,2022
Flores Timur,Nusa Tenggara Timur,22,112,114,,394,2022
Sikka,Nusa Tenggara Timur,14,81,143,5,772,2022
Ende,Nusa Tenggara Timur,15,58,392,29,1688,2022
Ngada,Nusa Tenggara Timur,9,74,250,131,1693,2022
Manggarai,Nusa Tenggara Timur,16,152,212,24,811,2022
Rote Ndao,Nusa Tenggara Timur,4,69,126,21,634,2022
Manggarai Barat,Nusa Tenggara Timur,17,173,212,25,339,2022
Sumba Tengah,Nusa Tenggara Timur,8,29,40,47,1911,2022
Sumba Barat Daya,Nusa Tenggara Timur,7,76,296,113,1095,2022
Nagekeo,Nusa Tenggara Timur,5,12,163,76,1040,2022
Manggarai Timur,Nusa Tenggara Timur,,10,62,11,466,2022
Sabu Raijua,Nusa Tenggara Timur,4,219,438,277,1271,2022
Malaka,Nusa Tenggara Timur,2,348,140,132,403,2022
Sambas,Kalimantan Barat,53,357,646,156,661,2022
Bengkayang,Kalimantan Barat,9,297,186,75,2186,2022
Landak,Kalimantan Barat,10,275,152,82,1814,2022
Mempawah,Kalimantan Barat,82,307,369,50,1129,2022
Sanggau,Kalimantan Barat,52,473,319,102,1962,2022
Ketapang,Kalimantan Barat,34,335,509,84,2999,2022
Sintang,Kalimantan Barat,41,399,499,437,1943,2022
Kapuas Hulu,Kalimantan Barat,108,624,562,87,1878,2022
Sekadau,Kalimantan Barat,62,374,190,104,1597,2022
Melawi,Kalimantan Barat,63,283,445,120,3318,2022
Kayong Utara,Kalimantan Barat,34,191,758,52,2984,2022
Kubu Raya,Kalimantan Barat,53,402,394,33,1398,2022
Pontianak,Kalimantan Barat,212,793,405,177,1888,2022
Singkawang,Kalimantan Barat,176,586,298,237,1266,2022
Kotawaringin Barat,Kalimantan Tengah,72,507,878,104,2561,2022
Kotawaringin Timur,Kalimantan Tengah,104,585,335,52,2854,2022
Kapuas,Kalimantan Tengah,35,283,263,215,1345,2022
Barito Selatan,Kalimantan Tengah,244,709,410,194,1517,2022
Barito Utara,Kalimantan Tengah,144,675,194,89,2051,2022
Sukamara,Kalimantan Tengah,41,784,897,59,3793,2022
Lamandau,Kalimantan Tengah,12,673,1140,51,3607,2022
Seruyan,Kalimantan Tengah,216,778,1380,101,3080,2022
Katingan,Kalimantan Tengah,96,1097,241,40,3212,2022
Pulang Pisau,Kalimantan Tengah,55,368,197,95,3089,2022
Gunung Mas,Kalimantan Tengah,42,415,66,21,2669,2022
Barito Timur,Kalimantan Tengah,151,634,34,25,1173,2022
Murung Raya,Kalimantan Tengah,180,496,229,33,1603,2022
Palangka Raya,Kalimantan Tengah,146,534,590,214,2528,2022
Tanah Laut,Kalimantan Selatan,31,462,286,180,1620,2022
Kotabaru,Kalimantan Selatan,85,403,192,65,1767,2022
Barito Kuala,Kalimantan Selatan,30,491,261,300,1086,2022
Tapin,Kalimantan Selatan,77,439,639,346,1336,2022
Hulu Sungai Selatan,Kalimantan Selatan,53,310,264,299,771,2022
Hulu Sungai Tengah,Kalimantan Selatan,39,273,258,120,694,2022
Hulu Sungai Utara,Kalimantan Selatan,84,269,367,288,769,2022
Tabalong,Kalimantan Selatan,122,519,196,101,1269,2022
Tanah Bumbu,Kalimantan Selatan,78,479,394,172,1945,2022
Balangan,Kalimantan Selatan,53,356,166,129,716,2022
Banjarmasin,Kalimantan Selatan,135,784,745,433,838,2022
Banjar Baru,Kalimantan Selatan,232,669,701,470,1452,2022
Paser,Kalimantan Timur,105,411,413,98,1979,2022
Kutai Barat,Kalimantan Timur,30,474,96,24,1524,2022
Kutai Kartanegara,Kalimantan Timur,98,498,663,67,2391,2022
Kutai Timur,Kalimantan Timur,99,415,550,56,2573,2022
Berau,Kalimantan Timur,238,603,1045,138,2949,2022
Penajam Paser Utara,Kalimantan Timur,58,384,397,72,2371,2022
Mahakam Ulu,Kalimantan Timur,37,336,207,26,2215,2022
Balikpapan,Kalimantan Timur,208,839,390,90,2210,2022
Samarinda,Kalimantan Timur,321,661,678,179,2215,2022
Bontang,Kalimantan Timur,202,536,468,60,1982,2022
Malinau,Kalimantan Utara,66,457,221,58,3438,2022
Bulungan,Kalimantan Utara,74,223,242,45,3562,2022
Tana Tidung,Kalimantan Utara,154,160,526,65,2828,2022
Nunukan,Kalimantan Utara,195,329,228,84,1692,2022
Tarakan,Kalimantan Utara,141,290,677,35,2483,2022
Bolaang Mongondow,Sulawesi Utara,11,179,173,44,4126,2022
Minahasa,Sulawesi Utara,27,263,161,11,3838,2022
Kepulauan Sangihe,Sulawesi Utara,10,206,373,1,3375,2022
Kepulauan Talaud,Sulawesi Utara,3,386,282,60,3585,2022
Minahasa Selatan,Sulawesi Utara,62,212,338,40,3909,2022
Minahasa Utara,Sulawesi Utara,140,418,930,327,4055,2022
Bolaang Mongondow Utara,Sulawesi Utara,42,212,223,17,2772,2022
Siau Tagulandang Biaro,Sulawesi Utara,47,177,33,,3315,2022
Minahasa Tenggara,Sulawesi Utara,22,177,368,28,3486,2022
Bolaang Mongondow Selatan,Sulawesi Utara,2,529,31,14,5116,2022
Bolaang Mongondow Timur,Sulawesi Utara,22,265,415,83,4208,2022
Manado,Sulawesi Utara,123,197,554,50,3892,2022
Bitung,Sulawesi Utara,108,373,488,24,3332,2022
Tomohon,Sulawesi Utara,72,117,200,27,3828,2022
Kotamobagu,Sulawesi Utara,12,141,393,18,2748,2022
Banggai Kepulauan,Sulawesi Tengah,22,143,295,7,1463,2022
Banggai,Sulawesi Tengah,51,321,691,83,1772,2022
Morowali,Sulawesi Tengah,50,442,911,28,2567,2022
