Kabupaten/Kota,Sambal jadi,Tahun,Provinsi
Luwu Timur,108,2018,Sulawesi Selatan
Toraja Utara,7,2018,Sulawesi Selatan
Makasar,245,2018,Sulawesi Selatan
Parepare,102,2018,Sulawesi Selatan
Palopo,122,2018,Sulawesi Selatan
Buton,3,2018,Sulawesi Tenggara
Muna,20,2018,Sulawesi Tenggara
Konawe,55,2018,Sulawesi Tenggara
Kolaka,72,2018,Sulawesi Tenggara
Konawe Selatan,25,2018,Sulawesi Tenggara
Bombana,145,2018,Sulawesi Tenggara
Wakatobi,92,2018,Sulawesi Tenggara
Kolaka Utara,53,2018,Sulawesi Tenggara
Buton Utara,46,2018,Sulawesi Tenggara
Konawe Utara,44,2018,Sulawesi Tenggara
Kolaka Timur,28,2018,Sulawesi Tenggara
Konawe Kepulauan,110,2018,Sulawesi Tenggara
Muna Barat,,2018,Sulawesi Tenggara
Buton Tengah,219,2018,Sulawesi Tenggara
Buton Selatan,11,2018,Sulawesi Tenggara
Kendari,157,2018,Sulawesi Tenggara
Baubau,114,2018,Sulawesi Tenggara
Boalemo,46,2018,Gorontalo
Gorontalo,13,2018,Gorontalo
Pohuwato,1,2018,Gorontalo
Bone Bolango,16,2018,Gorontalo
Gorontalo Utara,,2018,Gorontalo
Majene,105,2018,Sulawesi Barat
Polewali Mandar,25,2018,Sulawesi Barat
Mamasa,5,2018,Sulawesi Barat
Mamuju,42,2018,Sulawesi Barat
Mamuju Utara,43,2018,Sulawesi Barat
Mamuju Tengah,29,2018,Sulawesi Barat
Maluku Tenggara Barat,13,2018,Maluku
Maluku Tenggara,53,2018,Maluku
Maluku Tengah,24,2018,Maluku
Buru,54,2018,Maluku
Kepulauan Aru,49,2018,Maluku
Seram Bagian Barat,12,2018,Maluku
Seram Bagian Timur,43,2018,Maluku
Maluku Barat Daya,108,2018,Maluku
Buru Selatan,10,2018,Maluku
Ambon,156,2018,Maluku
Tual,61,2018,Maluku
Halmahera Barat,7,2018,Maluku Utara
Halmahera Tengah,69,2018,Maluku Utara
Kepulauan Sula,22,2018,Maluku Utara
Halmahera Selatan,71,2018,Maluku Utara
Halmahera Utara,75,2018,Maluku Utara
Halmahera Timur,21,2018,Maluku Utara
Pulau Morotai,12,2018,Maluku Utara
Pulau Taliabu,53,2018,Maluku Utara
Ternate,112,2018,Maluku Utara
Tidore Kepulauan,29,2018,Maluku Utara
Fakfak,39,2018,Papua Barat
Kaimana,212,2018,Papua Barat
Teluk Wondama,113,2018,Papua Barat
Teluk Bintuni,187,2018,Papua Barat
Manokwari,30,2018,Papua Barat
Sorong Selatan,161,2018,Papua Barat
Sorong,49,2018,Papua Barat
Raja Ampat,250,2018,Papua Barat
Tambrauw,9,2018,Papua Barat
Maybrat,37,2018,Papua Barat
Manokwari Selatan,17,2018,Papua Barat
Pegunungan Arfak,1,2018,Papua Barat
Merauke,28,2018,Papua
Jayawijaya,2,2018,Papua
Jayapura,49,2018,Papua
Nabire,128,2018,Papua
Kepulauan Yapen,48,2018,Papua
Biak Numfor,113,2018,Papua
Paniai,21,2018,Papua
Puncak Jaya,11,2018,Papua
Mimika,203,2018,Papua
Boven Digoel,94,2018,Papua
Mappi,49,2018,Papua
Asmat,41,2018,Papua
Yahukimo,,2018,Papua
Pegunungan Bintang,95,2018,Papua
Tolikara,4,2018,Papua
Sarmi,113,2018,Papua
Keerom,13,2018,Papua
Waropen,318,2018,Papua
Supiori,41,2018,Papua
Mamberamo Raya,1,2018,Papua
Nduga,,2018,Papua
Lanny Jaya,,2018,Papua
Mamberamo Tengah,,2018,Papua
Yalimo,,2018,Papua
Puncak,,2018,Jawa Barat
Dogiyai,,2018,Papua
Intan Jaya,,2018,Papua
Deiyai,2,2018,Papua
Simeulue,7,2019,Aceh
Aceh Singkil,18,2019,Aceh
Aceh Selatan,10,2019,Aceh
Aceh Tenggara,31,2019,Aceh
Aceh Timur,12,2019,Aceh
Aceh Tengah,17,2019,Aceh
Aceh Barat,48,2019,Aceh
Aceh Besar,67,2019,Aceh
Pidie,1,2019,Aceh
Bireuen,4,2019,Aceh
Aceh Utara,2,2019,Aceh
Aceh Barat Daya,,2019,Aceh
Gayo Lues,16,2019,Aceh
Aceh Tamiang,8,2019,Aceh
Nagan Raya,38,2019,Aceh
Aceh Jaya,29,2019,Aceh
Bener Meriah,1,2019,Aceh
Pidie Jaya,4,2019,Aceh
Banda Aceh,67,2019,Aceh
Sabang,51,2019,Aceh
Langsa,52,2019,Aceh
Lhokseumawe,42,2019,Aceh
Subulussalam,10,2019,Aceh
Nias,0,2019,Sumatera Utara
Mandailing Natal,20,2019,Sumatera Utara
Tapanuli Selatan,2,2019,Sumatera Utara
Tapanuli Tengah,9,2019,Sumatera Utara
Tapanuli Utara,3,2019,Sumatera Utara
Toba Samosir,20,2019,Sumatera Utara
Labuhan Batu,12,2019,Sumatera Utara
Asahan,15,2019,Sumatera Utara
Simalungun,6,2019,Sumatera Utara
Dairi,4,2019,Sumatera Utara
Karo,2,2019,Sumatera Utara
Deli Serdang,35,2019,Sumatera Utara
Langkat,19,2019,Sumatera Utara
Nias Selatan,3,2019,Sumatera Utara
Humbang Hasundutan,,2019,Sumatera Utara
Pakpak Bharat,13,2019,Sumatera Utara
Samosir,12,2019,Sumatera Utara
Serdang Bedagai,25,2019,Sumatera Utara
Batu Bara,16,2019,Sumatera Utara
Padang Lawas Utara,8,2019,Sumatera Utara
Padang Lawas,0,2019,Sumatera Utara
Labuhan Batu Selatan,5,2019,Sumatera Utara
Labuhan Batu Utara,2,2019,Sumatera Utara
Nias Utara,1,2019,Sumatera Utara
Nias Barat,1,2019,Sumatera Utara
Sibolga,9,2019,Sumatera Utara
Tanjung Balai,8,2019,Sumatera Utara
Pematang Siantar,9,2019,Sumatera Utara
Tebing Tinggi,69,2019,Sumatera Utara
Medan,198,2019,Sumatera Utara
Binjai,65,2019,Sumatera Utara
Padangsidimpuan,10,2019,Sumatera Utara
Gunungsitoli,7,2019,Sumatera Utara
Kepulauan Mentawai,19,2019,Sumatera Barat
Pesisir Selatan,6,2019,Sumatera Barat
Solok,56,2019,Sumatera Barat
Sijunjung,6,2019,Sumatera Barat
Tanah Datar,23,2019,Sumatera Barat
Padang Pariaman,19,2019,Sumatera Barat
Agam,38,2019,Sumatera Barat
Lima Puluh Kota,8,2019,Sumatera Barat
Pasaman,1,2019,Sumatera Barat
Solok Selatan,11,2019,Sumatera Barat
Dharmasraya,22,2019,Sumatera Barat
Pasaman Barat,14,2019,Sumatera Barat
Padang,83,2019,Sumatera Barat
Sawah Lunto,29,2019,Sumatera Barat
Padang Panjang,115,2019,Sumatera Barat
Bukittinggi,108,2019,Sumatera Barat
Payakumbuh,83,2019,Sumatera Barat
Pariaman,76,2019,Sumatera Barat
Kuantan Singingi,17,2019,Riau
Indragiri Hulu,7,2019,Riau
Indragiri Hilir,51,2019,Riau
Pelalawan,53,2019,Riau
Siak,50,2019,Riau
Kampar,66,2019,Riau
Rokan Hulu,14,2019,Riau
Bengkalis,115,2019,Riau
Rokan Hilir,9,2019,Riau
Kepulauan Meranti,16,2019,Riau
Pekanbaru,143,2019,Riau
Dumai,108,2019,Riau
Kerinci,12,2019,Jambi
Merangin,8,2019,Jambi
Sarolangun,24,2019,Jambi
Batang Hari,29,2019,Jambi
Muaro Jambi,35,2019,Jambi
Tanjung Jabung Timur,7,2019,Jambi
Tanjung Jabung Barat,44,2019,Jambi
Tebo,23,2019,Jambi
Bungo,11,2019,Jambi
Jambi,123,2019,Jambi
Sungai Penuh,30,2019,Jambi
Ogan Komering Ulu,34,2019,Sumatera Selatan
Ogan Komering Ilir,38,2019,Sumatera Selatan
Muara Enim,40,2019,Sumatera Selatan
Lahat,28,2019,Sumatera Selatan
Musi Rawas,11,2019,Sumatera Selatan
Musi Banyuasin,58,2019,Sumatera Selatan
Banyu Asin,58,2019,Sumatera Selatan
Ogan Komering Ulu Selatan,23,2019,Sumatera Selatan
Ogan Komering Ulu Timur,17,2019,Sumatera Selatan
Ogan Ilir,28,2019,Sumatera Selatan
Empat Lawang,18,2019,Sumatera Selatan
Penukal Abab Lematang Ilir,36,2019,Sumatera Selatan
Musi Rawas Utara,10,2019,Sumatera Selatan
Palembang,146,2019,Sumatera Selatan
Prabumulih,83,2019,Sumatera Selatan
Pagar Alam,15,2019,Sumatera Selatan
Lubuklinggau,19,2019,Sumatera Selatan
Bengkulu Selatan,18,2019,Bengkulu
Rejang Lebong,26,2019,Bengkulu
Bengkulu Utara,105,2019,Bengkulu
Kaur,10,2019,Bengkulu
Seluma,17,2019,Bengkulu
Mukomuko,14,2019,Bengkulu
Lebong,5,2019,Bengkulu
Kepahiang,4,2019,Bengkulu
Bengkulu Tengah,28,2019,Bengkulu
Bengkulu,137,2019,Bengkulu
Lampung Barat,20,2019,Lampung
Tanggamus,12,2019,Lampung
Lampung Selatan,22,2019,Lampung
Lampung Timur,8,2019,Lampung
Lampung Tengah,8,2019,Lampung
Lampung Utara,40,2019,Lampung
Way Kanan,32,2019,Lampung
Tulangbawang,8,2019,Lampung
Pesawaran,17,2019,Lampung
Pringsewu,16,2019,Lampung
Mesuji,8,2019,Lampung
Tulang Bawang Barat,4,2019,Lampung
Pesisir Barat,19,2019,Lampung
Bandar Lampung,62,2019,Lampung
Metro,28,2019,Lampung
Bangka,147,2019,Kepulauan Bangka Belitung
Belitung,112,2019,Kepulauan Bangka Belitung
Bangka Barat,77,2019,Kepulauan Bangka Belitung
Bangka Tengah,82,2019,Kepulauan Bangka Belitung
Bangka Selatan,132,2019,Kepulauan Bangka Belitung
Belitung Timur,100,2019,Kepulauan Bangka Belitung
Pangkal Pinang,273,2019,Kepulauan Bangka Belitung
Karimun,174,2019,Kepulauan Riau
Bintan,159,2019,Kepulauan Riau
Natuna,194,2019,Kepulauan Riau
Lingga,96,2019,Kepulauan Riau
Kepulauan Anambas,280,2019,Kepulauan Riau
Batam,192,2019,Kepulauan Riau
Tanjung Pinang,168,2019,Kepulauan Riau
Kep. Seribu,139,2019,DKI Jakarta
Jakarta Selatan,238,2019,D.K.I. Jakarta
Jakarta Timur,160,2019,D.K.I. Jakarta
Jakarta Pusat,238,2019,D.K.I. Jakarta
Jakarta Barat,135,2019,D.K.I. Jakarta
Jakarta Utara,136,2019,D.K.I. Jakarta
Bogor,94,2019,Jawa Barat
Sukabumi,39,2019,Jawa Barat
Cianjur,19,2019,Jawa Barat
Bandung,97,2019,Jawa Barat
Garut,22,2019,Jawa Barat
Tasikmalaya,36,2019,Jawa Barat
Ciamis,23,2019,Jawa Barat
Kuningan,24,2019,Jawa Barat
Cirebon,63,2019,Jawa Barat
